제목,장소,주소,기간,이미지URL,상세URL,세부장르,후기유무,이미지url,상세url,줄거리,작품설명
빨간모자 - 청주,소극장 쇠내골,충북 청주시 상당구 석교동 257 2층 소극장 쇠내골,2018/01/26 ~ 2023/09/18,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/18/01/0400011801_120383_0202.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18000670,어린이/가족,O,,,줄거리 없음,작품설명 없음
당신만이,JTN 아트홀 3관,서울 종로구 이화동 139번지 JTN아트홀,2022/05/27 ~ 2023/09/30,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/22/05/0400012205_174445_01.050.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=22005476,창작,O,,,"빨간 모자는 생일날, 사랑하는 아빠에게 빨간 모자를 선물로 받은 후로 빨간 모자라는 애칭으로 불리게 되었다. 하지만 지금은 아빠가 돌아가시고 엄마와 단둘이 살고 있다. 그러던 어느 날 할머니가 아프시다는 소식을 듣고 엄마의 심부름으로 할머니 댁에 빵을 가져다주기로 한다.

엄마는 “숲속에는 나쁜 늑대가 있으니 조심해,
그리고 가는 길에 누구를 만나든 아무나 마구 따라가면 안 돼”라는 당부를 한다.

빨간 모자는 무사히 할머니에게 빵을 가져다줄 수 있을까?","세계 명작동화 빨간 두건을 현실에 맞는 상황과 감성으로 재창작, 각색
연령에 상관없이 모두가 즐길 수 있는 연출로 함께 본 가족 간의 소통 소재 제공
객석에 무대 위에서 벌어진 일에 관해 물어보면서 관객의 참여와 소통을 이끎
공연 관람으로 낯선 사람을 마주했을 때의 범죄 예방수칙 습득 효과"
더 맨 얼라이브,서울숲 씨어터 2관,서울특별시 성동구 성수동1가 685-696,2023/05/12 ~ 2023/12/31,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/03/0400012303_186496_01.142.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23004388,창작,O,,,줄거리 없음,작품설명 없음
장수탕 선녀님,서울숲 씨어터 2관,서울특별시 성동구 성수동1가 685-696,2021/09/16 ~ 2024/03/03,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/21/08/0400012108_167486_01.421.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21007404,어린이/가족,O,,,줄거리 없음,작품설명 없음
난타 - 명동,명동 난타 전용관,서울 중구 명동2가 50-14 유네스코빌딩 3층,2022/07/08 ~ 2023/12/31,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/22/05/0400012205_175240_01.026.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=22006637,퍼포먼스,O,,,줄거리 없음,작품설명 없음
세례요한,북촌나래홀,서울특별시 종로구 원서동 174,2021/07/17 ~ 2023/09/30,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/21/06/0400012106_166018_01.802.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21005251,창작,O,,,줄거리 없음,작품설명 없음
김종욱 찾기,"브릭스 씨어터 (구, 콘텐츠 그라운드)",서울 종로구 동숭동 1-93 더 브릭스 빌딩 지하,2022/11/18 ~ 2023/09/30,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/22/11/0400012211_181148_01.708.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=22015381,창작,O,,,줄거리 없음,작품설명 없음
아기 돼지 삼형제,서연아트홀(구 인아소극장),서울 종로구 명륜동2가 21-10,2023/01/07 ~ 2023/09/30,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/22/12/0400012212_182870_01.822.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=22017504,어린이/가족,O,,,줄거리 없음,작품설명 없음
헬로 고스트,해당공연 공연장,주소:,2023/03/02 ~ 2023/12/31,,,뮤지컬,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/05/0400012305_188415_01.955.gif,후기탭 없음,줄거리 없음,작품설명 없음
"사람, 꽃 피우다 - 익산",함라한옥체험단지,전라북도 익산시 함라면 함열리 572-1,2023/06/10 ~ 2023/10/28,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/06/0400012306_189277_01.921.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23007923,창작,O,,,"한적한 어느 학교 소희라는 학생의 전학 소식 낯선 학생의 출연으로 학교의 아이들은
그를 경계하는 눈초리다. 하지만 소희는 이상하게도 왕따를 자처하며 학교생활을 이어간다. 모두가 소희를 괴롭히고 경계하지만, 일우라는 잘생긴 남학생은 소희의 둘도 없는 친구가 되어 준다. 
소희를 괴롭히는 학생들에게 왕따 신분의 소희는 술. 담배. 행동들에 대해 지적을 하면서 그들의 요구를 들어주는 알 수 없는 행동을 하며 소희의 유일한 친구 일우의 신비스러운 행동들. 모든 것이 의문점투성이다. 
왕따를 자처한 이상한 전학생 그리고 그를 위하는 한 남자 
그들의 좌충우돌 스토리","등장인물들의 학교생활을 통해 친구와 있을 때와 적대적인 아이들과 있을 때 편안함과 불안함 정반대의 두 감정을 함께 느끼며 몰입하도록 했습니다. 
왕따라는 다소 무거운 주제에 정면으로 맞서는 주인공의 모습에서 그동안 외면하고 방치해왔던 문제와 언젠가 마주하게 된다는 것을 알게됩니다. 
돌이킬 수 없는 일로 발목을 잡히는 일이 없도록... 
잘못된 길의 끝은 어디일지 그 결말에 대해 반전으로 풀어가는 이야기입니다."
빌의 구둣방 - 청주,소극장 쇠내골,충북 청주시 상당구 석교동 257 2층 소극장 쇠내골,2021/03/20 ~ 2023/10/23,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/21/04/0400012104_164348_01.306.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21001949,뮤지컬,O,,,줄거리 없음,작품설명 없음
마술그리스신화,송파브이아트홀,서울특별시 송파구 오금로 513 (거여동) 지하1층 브이아트홀,2022/07/13 ~ 2023/10/29,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/22/07/0400012207_176598_01.911.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=22008545,어린이/가족,O,,,"19세기 후반 ~ 20세기 초. 2차 산업혁명이 진행되는 독일.
지역 시장 칼의 집에 세 들어 사는 구둣방 주인 빌.
신발 산업 생산이 시작되고 기성 구두의 유행이 시작되면서
수제화 시장에는 사람들의 발걸음이 끊기게 되고, 
제화공은 점점 사회의 배경으로 밀려나는 추이다.
결국엔 빌은 임대료를 지급하지 못하여 쫓겨날지도 모르는 상황에 처한다. 
아내에 대한 미안함과 앞으로의 막막함으로 괴로워하는 빌. 
그에겐 이제 구두를 만들 가죽조차 얼마 남지 않았다.
그러던 와중, 구둣방에 다리를 저는 여인 길버타가 찾아온다. 
그녀의 사연을 알게 된 빌은 남은 구두 가죽을 만지며 고뇌에 빠진다... ","수십 년 간 한 분야에 종사한 구두장인. 평생을 통해 최고가 된 구두장인 빌의 이야기!
선천적 장애를 지닌 길버타, 빌의 구둣방을 계기로 달라지는 그녀의 세상! 
더불어 살아가는 세상을 보여주는 뮤지컬!

무대 공간에  투사되는 영상으로  느낄 수 있는 신비롭고 초월적인 경험!
풍요로운 뮤지컬 넘버! 다양한 매력의 스케일을 지닌 음악과 노래들!
생각지도 못한 유머러스한 상황! 꿈과 꿈을 지지해주는 진심 어린 사랑까지!
교육적 효과, 마음의 감동을 두루 충족시켜줄 MUSICAL 빌의 구둣방!"
언제는 행복하지 않은 순간이 있었나요,M스테이지,서울 서대문구 창천동 57-53 지하,2023/03/14 ~ 2023/12/31,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/02/0400012302_185526_01.755.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23003033,창작,O,,,"1장 _ 불의화신 ‘헤파이스토스’와 미의여신 ‘아프로디테’

일밖에 모르는 대장장이 ‘헤파이스토스’
그는 모든지 만들 수 있는 만능 재주꾼 이지만 그의 단점은 외모!!!
그는 부인‘아프로디테’를 끔찍이 사랑하지만, 정작 ‘아프로디테’는
그와 함께 하고 싶어하지 않는다. 
그녀의 미모를 탐내는 위기에서 ‘헤파이스토스’는 그의 마법으로
어려움을 극복하게 되는데....

2장 _ 호기심 많은 판도라와 그의 연인 ‘에피메테우스’

‘제우스신’의 함정을 염려하는 예언의신 ‘프로메테우스’는 그의 동생
‘에피메테우스’에게 ‘제우스신’의 선물을 받지 말라고 조언한다.
하지만 ‘판도라’의 눈부신 미모에 반한 ‘에피메테우스’는 형과의
약속을 잊고 그녀와 함께 한다.
그녀와 행복한 날을 보내는 ‘에피메테우스’는 ‘판도라’와 함께
절대 열어봐서는 안되는 판도라의 상자를 열게 되는데....

3장 _ 질투의 여신 ‘헤라’와 힘의 상징 ‘헤라클라스’
‘헤라클라스’를 미워하는 ‘헤라여신’은 그에게 12개의 어려운 과업을
전달하만 용감하기 씩씩한 헤라클라스는 어려운 과업을 모두 풀게된다.
그를 미워하는 ‘헤라여신’은 헤라클라스에게 13번째 과업을 전달하게 되는데... ","‘그리스로마신화’ 이야기를 ‘마술’과 ‘노래’로 담았다
아이들 눈높이에 맞는 탄탄한 스토리
화려한 무대, 신나는 음악!!
유익함과 재미를 동시에 잡는 어린이공연 화제작!

대장장이 헤파이스토스, 판도라, 에피메테우스, 헤라여신, 아프로디테 등
그리스 로마신화 이야기의 캐릭터들이 출동하여 만드는 
재미과 감동의 환상적인 어린이 뮤지컬!

‘마술’과 ‘노래’를 듣고 있으면 그리스로마신화이야기가 머리에 쏙쏙~~
관객 모두와 함께 진행하는 헤라클라스 체험까지~~
상상 이상의 모든 것을 보여드리는
가족모두와 함께하는 환상적인 뮤지컬 <마술그리스신화>"
동춘서커스 - 안산,동춘서커스 빅탑극장,경기 안산시단원구 대부북동 1849-30번지,2016/06/29 ~ 오픈런,,,어린이/가족,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/16/06/0400011606_95196_01015.gif,후기탭 없음,줄거리 없음,작품설명 없음
써니텐,대학로 하마씨어터,서울 종로구 대학로10길 15-11 4층,2022/07/08 ~ 2023/11/30,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/22/06/0400012206_175832_01.859.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=22007582,창작,O,,,줄거리 없음,작품설명 없음
신데렐라,스타스테이지 (구 원패스아트홀),서울특별시 종로구 동숭동 1-54 지하 2층,2023/05/07 ~ 2023/09/30,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/04/0400012304_187149_01.329.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23005249,어린이/가족,O,,,줄거리 없음,작품설명 없음
더 픽션,예스24스테이지 1관,서울 종로구 동숭동 1-52,2023/06/24 ~ 2023/09/17,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/05/0400012305_188080_01.440.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23006429,창작,O,,,줄거리 없음,작품설명 없음
런던레코드,인사아트홀 1관,서울특별시 종로구 관훈동 21번지 지하 2층,2023/01/13 ~ 2023/12/31,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/01/0400012301_183324_01.132.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23000043,창작,O,,,줄거리 없음,작품설명 없음
더 오디션,해당공연 공연장,주소:,2023/03/02 ~ 2023/12/31,,,뮤지컬,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/05/0400012305_188405_01.543.gif,후기탭 없음,줄거리 없음,작품설명 없음
조선셰프 한상궁 - 전주,전주한벽문화관 마당창극 야외공연장,전북 전주시 완산구 교동 7-1,2023/06/09 ~ 2023/10/27,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/05/0400012305_188666_01.945.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23007148,창작,O,,,"서주혁과 유가을, 최도치, 김미소는 같은 소속사 연습생으로 한 팀이다.
주혁과 가을이 팀을 이끌지만 팀에 만족하지 못하는 도치 때문에 번번이 분위기가 깨진다.
회사에서 데뷔를 위한 선발 오디션이 열리고 모두 연습이 한창인 때 도치의 돌발행동으로 오해가 생기고 팀은 와해된다.
급기야 도치가 연습생을 그만두고 팀원들은 희망도 없는 꿈에 시간 낭비하기 싫다는 도치를 붙잡지 못한다. 
세상에 나선 도치는 현실이라는 벽에 부딪혀 좌절하고, 꿈을 위해 노력하던 시간이 얼마나 즐거웠는지와 같은 꿈을 키우던 팀원들을 떠올리게 된다.
방황하던 도치는 우연히 마주친 미소를 구해주며 팀원들에게 돌아갈 용기를 내는데, 도치의 걱정과 달리 팀원들은 다시 손을 내밀었고 네 사람은 힘을 합쳐 꿈을 위한 오디션을 준비한다.
 ","창작뮤지컬은 학생을 주 관객으로 하는 하이틴 뮤지컬입니다.
아이돌 연습생들이 꿈과 목표를 위해 함께 노력하고 그 과정에서 갈등과 화해를 겪으며 성장해 나가는 이야기입니다.
팝 뮤지컬의 형식을 띄고 있어 공연의 모든 넘버가 관객들에게 친숙할 수 있는 노래들로 구성되어 있으며 요즘 학생들이 가장 선호하는 직업 ‘아이돌’을 소재로 다루면서 깊은 공감과 감동을 이끌어내고 있습니다.
무대 위 스타들의 화려한 겉모습 속에는 상상도 못할 인내와 노력이 동반된다는 교훈을 통해 공연을 보는 관객들이 자신의 꿈에 대해 다시 한번 되돌아보고 꿈을 가지고 정진하는 것이 얼마나 값지고 대단한 용기를 필요로 하는 것인지에 대해 생각해 볼 수 있는 작품입니다."
마이 리틀 캣츠,스타스테이지 (구 원패스아트홀),서울특별시 종로구 동숭동 1-54 지하 2층,2023/06/17 ~ 2023/09/30,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/05/0400012305_189116_01.538.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23007719,어린이/가족,O,,,줄거리 없음,작품설명 없음
